user_name,user_location,user_followers,user_friends,user_verified,date,text,hashtags,source,language,is_retweet
🌪🐿🌈🐸 𝔏𝔢𝔞𝔭_🚫𝔣_𝔉𝔞𝔦𝔱ᖾ ᑎᒻ✌ ๑ 🌿,The Netherlands,363,943,False,2021-04-30 11:06:03,"Het kabinet is afgetreden maar het heeft geen consequenties gehad. De #motievanwantrouwen had geen schijn van kans, men vormt straks dezelfde coalitie; VVD, D66, CDA en een meeloper. De #toeslagenaffaire is succesvol over de verkiezingen getild.

@PieterOmtzigt, kom er maar in.. https://t.co/4INXEUhKBt",['motievanwantrouwen'],Twitter Web App,nl,False
marion baggerman,,11,59,False,2021-04-30 11:05:32,"Oké.... Al weken probeer ik in contact te komen met het speciale team van de kinderopvang... Maar nee hoor 0,0 resultaat... Nu heb ik gisteren het debat een beetje gevolgd en dan hoor je leugen op leugen en nog een leugen😔... @geertwilderspvv @MarijnissenL #toeslagenaffaire Help",,Twitter for iPhone,nl,False
Thefrost,"Amsterdam, usually",119,264,False,2021-04-30 11:04:57,@schui685 Vooral de belastingdienst denkt zo. Alleen de pijnlijke waarheid is dat er systematisch iets zal moeten veranderen. #toeslagenaffaire is topje van ijsberg. Soortgelijke rampzalige ambtenaren zitten overal.,,Twitter for Android,nl,False
Jacco Prantl,Amsterdam,750,1823,False,2021-04-30 11:03:48,Vertrouwen gaat te paard en komt binnen twee weken terug als je een beetje met een wortel in de lucht zwaait en je schouders ophaalt. #formatie #toeslagenaffaire #notulendebat,,Twitter Web App,nl,False
Bertil Folkers,Eindhoven,1137,1063,False,2021-04-30 10:58:11,"Ze drinken een glas, doen een plas en laten alles zoals het was #toeslagenaffaire 
Tjeenk Willink presenteert eindrapport: ’Partijen houden deur open voor regeren met Rutte’ | Binnenland | https://t.co/MvAvJXXnl2 https://t.co/LwinCkQSWP",['toeslagenaffaire'],Twitter for iPhone,nl,False
Eerde de Vries,Wolvega,379,439,False,2021-04-30 10:56:48,"We zijn een stel gereformeerde hypocriete exegeten. Dagen discussiëren over ""#functieelders"" en #sensibiliseren . Hoeveel engelen passen er op de punt van een naald. Het was de kamer die die hardvochtige wetgeving met zero tolerance eiste #toeslagenaffaire","['functieelders', 'sensibiliseren']",Twitter for Android,nl,False
ThePeet,,87,10,False,2021-04-30 10:55:59,@aghagh1970 @fritsaltenburg Die verkiezingen zijn met fraude en oneerlijke timing niet eerlijk verlopen en moeten over #nietmijnregering #klaarmetrutte #kutkaag #notulendebat #toeslagenaffaire #omtzigtgate #wilders,,Twitter for Android,nl,False
Ray Schrijber💉,,160,145,False,2021-04-30 10:55:27,Na de  #toeslagenaffaire kunnen we ons opmaken voor de #WMOaffaire,"['toeslagenaffaire', 'WMOaffaire']",Twitter Web App,nl,False
Jeroen,Noord-Holland,185,200,False,2021-04-30 10:50:27,GEWOON NEEEEEEEEEEEEEEEEEEEEEE! #rutte #toeslagenaffaire https://t.co/50OIy9rSpN,"['rutte', 'toeslagenaffaire']",Twitter for Android,nl,False
"Harry 💉op 1,5 meter ⚠️","Ugchelen, Apeldoorn",618,298,False,2021-04-30 10:46:45,Een aantal van de vermeend frisse winden vanuit de tweedekamerverkiezingen nu zo'n twee weken geleden bleken gister toch aanzienlijk natter dan gedacht. #toeslagenaffaire #notulengate #notulendebat,,Twitter Web App,nl,False
