"ID";"EducationSectors";"Periods";"OperatingIncome_1";"GrantsFromTheState_2";"OtherGovernmentalGrants_3";"TuitionAndExamFees_4";"IncomeFromContractsWithThirdParties_5";"OtherIncome_6";"OperatingCosts_7";"PersonnelCosts_8";"Depreciation_9";"HousingCosts_10";"TotalOtherCosts_11";"AdministrativeCosts_12";"InventoryMaterialAndTeachingAid_13";"Other_14";"OperatingResult1_15";"NetFinancialCosts2_16";"SpecialEntries3_17";"Result123_18";"TotalAssets_19";"TotalFixedAssets_20";"NonFinancialIntangibleFixedAssets_21";"TotalNonFinancialTangibleFixedAs_22";"BuildingsAndLand_23";"InventoryAndEquipment_24";"OtherNonFinancialTangibleFixedAs_25";"FinancialFixedAssets_26";"TotalCurrentAssets_27";"Inventory_28";"Receivables_29";"ShortTermSecurities_30";"LiquidAssets_31";"TotalLiabilitiesAndEquity_32";"Equity_33";"Provisions_34";"LongTermDebt_35";"ShortTermDebt_36";"TotalInvestmentsGross_37";"InvestmentsGrossBuildingsAndLand_38";"InvestmentsGrossInventoryAndEq_39";"SolvencyRatio_40";"CurrentRatio_41";"ProfitMargin_42";"ResilienceRatio_43";"CapitalizationFactor_44"
"117";"A048582";"2010JJ00";"  9429.0";"  5786.7";"    61.0";"  1112.5";"  1750.8";"   717.9";"  9201.1";"  6264.2";"   542.0";"   654.3";"  1740.6";"   382.1";"   307.3";"  1051.1";"   227.9";"   -37.0";"    -5.8";"   185.1";"  9349.7";"  6413.0";"    17.2";"  6184.1";"  5102.9";"   636.7";"   444.5";"   211.7";"  2936.7";"    15.9";"  1222.9";"    48.0";"  1649.8";"  9349.7";"  4205.0";"   538.4";"  1444.2";"  3162.3";"   738.3";"   533.0";"   205.3";"    45.0";"    92.9";"     2.0";"   -34.2";"    45.0"
"118";"A048582";"2011JJ00";"  9755.9";"  5967.2";"    65.7";"  1175.6";"  1819.1";"   728.4";"  9531.3";"  6469.4";"   601.2";"   693.3";"  1767.5";"   393.6";"   302.5";"  1071.4";"   224.6";"   -41.2";"    -9.9";"   173.5";"  9696.4";"  6494.3";"    16.7";"  6265.1";"  5329.7";"   641.5";"   293.9";"   212.5";"  3202.1";"    14.9";"  1214.0";"    38.9";"  1934.4";"  9696.4";"  4378.7";"   608.2";"  1427.0";"  3282.5";"   794.2";"   589.0";"   205.2";"    45.2";"    97.6";"     1.8";"   -31.6";"    44.8"
"119";"A048582";"2012JJ00";"  9865.5";"  6024.1";"    53.2";"  1239.8";"  1846.6";"   701.7";"  9639.0";"  6607.9";"   601.0";"   679.4";"  1750.8";"   349.6";"   327.0";"  1074.3";"   226.5";"   -47.2";"   -14.7";"   164.5";" 10049.7";"  6588.8";"    51.3";"  6323.5";"  5209.5";"   598.2";"   515.9";"   214.0";"  3460.9";"    14.7";"  1166.5";"    41.1";"  2238.6";" 10049.7";"  4540.7";"   591.4";"  1457.2";"  3460.4";"   732.2";"   548.5";"   183.7";"    45.2";"   100.0";"     1.7";"   -29.6";"    49.1"
"120";"A048582";"2013JJ00";" 10132.5";"  6242.6";"    48.8";"  1300.1";"  1837.9";"   703.0";"  9831.7";"  6800.2";"   595.0";"   684.6";"  1751.8";"   318.3";"   365.7";"  1067.9";"   300.7";"   -41.9";"    -2.2";"   256.6";" 10261.2";"  6752.8";"    59.2";"  6445.9";"  5266.0";"   568.0";"   611.8";"   247.7";"  3508.4";"    14.9";"  1138.6";"    42.5";"  2312.5";" 10261.2";"  4772.3";"   628.4";"  1341.4";"  3519.2";"   784.4";"   615.6";"   168.8";"    46.5";"    99.7";"     2.5";"   -26.8";"    49.3"
"121";"A048582";"2014JJ00";" 10370.3";"  6398.3";"    37.0";"  1346.4";"  1885.8";"   702.7";" 10021.6";"  6928.2";"   649.6";"   705.1";"  1738.7";"   320.4";"   389.0";"  1029.4";"   348.6";"   -45.2";"    -1.8";"   301.6";" 10544.0";"  7015.0";"    69.4";"  6710.2";"  5484.4";"   576.2";"   649.5";"   235.4";"  3529.0";"    13.7";"  1068.2";"    44.3";"  2402.8";" 10544.0";"  5092.5";"   618.3";"  1419.8";"  3413.5";"   914.9";"   714.0";"   200.7";"    48.3";"   103.4";"     2.9";"   -25.3";"    48.8"
"122";"A048582";"2015JJ00";" 10684.4";"  6534.0";"    33.8";"  1420.7";"  2012.3";"   683.8";" 10487.2";"  7253.4";"   629.4";"   738.6";"  1865.7";"   331.7";"   403.3";"  1130.7";"   197.2";"   -25.9";"   -14.6";"   156.7";" 10898.7";"  7234.2";"    70.2";"  6949.6";"  5672.8";"   610.2";"   666.5";"   214.4";"  3664.5";"    13.6";"  1062.2";"    44.5";"  2544.2";" 10898.7";"  5238.7";"   647.7";"  1442.2";"  3570.0";"   888.1";"   665.1";"   222.9";"    48.1";"   102.6";"     1.5";"   -26.2";"    48.9"
"123";"A048582";"2016JJ00";" 10897.7";"  6654.6";"    36.7";"  1474.4";"  2001.9";"   730.1";" 10813.8";"  7523.5";"   683.2";"   712.2";"  1894.8";"   342.3";"   415.8";"  1136.8";"    83.9";"   -38.1";"   -14.8";"    31.0";" 11120.5";"  7310.6";"    68.3";"  7085.4";"  5987.6";"   616.8";"   480.9";"   156.9";"  3809.9";"    11.9";"  1186.8";"    41.6";"  2569.6";" 11120.5";"  5248.3";"   649.0";"  1509.6";"  3713.6";"   817.5";"   625.7";"   191.9";"    47.2";"   102.6";"     0.3";"   -27.6";"    47.1"
"124";"A048582";"2017JJ00";" 11195.9";"  6843.2";"    46.8";"  1543.6";"  2058.6";"   703.7";" 11087.9";"  7839.5";"   679.4";"   694.2";"  1874.8";"   308.1";"   411.7";"  1155.0";"   108.0";"   -44.7";"   -12.4";"    50.9";" 11181.1";"  7425.9";"    61.2";"  7197.1";"  6053.5";"   629.2";"   514.4";"   167.6";"  3755.2";"    10.8";"  1054.1";"    40.5";"  2649.8";" 11181.6";"  5324.2";"   676.7";"  1514.6";"  3666.1";"   777.5";"   591.1";"   186.4";"    47.6";"   102.4";"     0.5";"   -27.4";"    45.8"
"125";"A048582";"2018JJ00";" 11743.3";"  7281.2";"    54.0";"  1568.9";"  2123.6";"   715.6";" 11507.7";"  8133.6";"   690.3";"   741.8";"  1942.0";"   289.2";"   436.4";"  1216.4";"   235.6";"   -55.2";"   -12.5";"   167.9";" 11523.1";"  7504.1";"    56.4";"  7266.7";"  6139.2";"   641.7";"   485.8";"   181.0";"  4019.0";"     9.5";"   988.2";"    34.3";"  2987.0";" 11523.5";"  5505.4";"   756.6";"  1530.8";"  3730.7";"   751.2";"   548.6";"   202.6";"    47.8";"   107.7";"     1.4";"   -24.2";"    45.8"
"126";"A048426";"1998JJ00";"  1718.2";"  1169.6";"";"   322.9";"   120.3";"   105.4";"  1692.9";"  1177.4";"   114.3";"   132.7";"   268.4";"       .";"       .";"       .";"    25.3";"   -29.8";"    -6.8";"   -11.3";"  2116.2";"  1577.3";"     4.3";"  1428.0";"  1127.8";"   227.4";"    72.8";"   145.0";"   539.0";"    13.6";"   208.5";"    17.2";"   299.7";"  2116.2";"   457.6";"   253.0";"   806.0";"   599.6";"   245.7";"   156.2";"    89.6";"    21.6";"    89.9";"    -0.7";"   -83.0";"    57.5"
