,Date,Pricing,Market,Product,Price,Change,Unit
170,2022-11-12,Retail,El Obeid,Mutton,3600.0,5.88%,Kilogram
171,2022-11-12,Retail,El Obeid,Beef (Bone-in),1400.0,-12.5%,Kilogram
172,2022-11-12,Retail,El Obeid,Calf meat,2000.0,0%,Kilogram
173,2022-11-12,Retail,El Obeid,Eggs,2400.0,0%,Egg tray
174,2022-11-12,Wholesale,El Obeid,Goat (Noubian Male live 13-30kgs),55000.0,0%,Head
175,2022-11-12,Wholesale,El Obeid,Milking Goat,70000.0,7.69%,Head
176,2022-11-12,Wholesale,El Obeid,"Calf (live, 250 Kg)",120000.0,0%,Head
177,2022-11-12,Wholesale,El Obeid,Sheep (35 - 40 Kg Live + 2 years),70000.0,7.69%,Head
178,2022-11-12,Wholesale,El Obeid,Camels,650000.0,8.33%,Head
179,2022-11-12,Wholesale,El Obeid,"Bull (350 kg, live)",260000.0,0%,Head
180,2022-11-12,Wholesale,El Obeid,Local milking Cow - Hi Yeilder,640000.0,3.23%,Head
181,2022-11-12,Wholesale,El Obeid,Local milking Cow - Low Yeilder,360000.0,2.86%,Head
182,2022-11-12,Retail,Kadugli,Chicken,2300.0,0%,Kilogram
183,2022-11-12,Retail,Kadugli,Milk,300.0,0%,Ratoul
184,2022-11-12,Retail,Kadugli,White Cheese,4000.0,0%,Kilogram
185,2022-11-12,Retail,Kadugli,Eggs,2700.0,0%,Egg tray
186,2022-11-12,Retail,Kadugli,Mutton,3000.0,0%,Kilogram
187,2022-11-12,Retail,Kadugli,Goat (Meat),3000.0,0%,Kilogram
188,2022-11-12,Retail,Kadugli,Calf meat,1400.0,0%,Kilogram
189,2022-11-12,Retail,Kadugli,Beef (Boneless),3800.0,0%,Kilogram
190,2022-11-12,Retail,Kadugli,Beef (Bone-in),1400.0,0%,Kilogram
191,2022-11-12,Wholesale,Kadugli,Sheep (35 - 40 Kg Live + 2 years),85000.0,0%,Head
192,2022-11-12,Wholesale,Kadugli,Milking Goat,33000.0,0%,Head
193,2022-11-12,Wholesale,Kadugli,Goat (Noubian Male live 13-30kgs),40000.0,5.26%,Head
194,2022-11-12,Wholesale,Kadugli,"Calf (live, 250 Kg)",157000.0,0%,Head
195,2022-11-12,Wholesale,Kadugli,Local milking Cow - Low Yeilder,173000.0,-1.14%,Head
196,2022-11-12,Wholesale,Kadugli,"Bull (350 kg, live)",275000.0,0%,Head
197,2022-11-12,Retail,El Nuhud,Okra (Dry),6000.0,0%,Rubu
198,2022-11-12,Wholesale,El Nuhud,Okra (Dry),80000.0,0%,Standard Sack ~90kg
199,2022-11-12,Retail,El Nuhud,Eggplant,400.0,-20%,Kilogram
200,2022-11-12,Retail,El Nuhud,Lemons & Limes,700.0,0%,Kilogram
201,2022-11-12,Retail,El Nuhud,Tomato,900.0,0%,Kilogram
202,2022-11-12,Wholesale,El Nuhud,Tomato,700.0,0%,Kilogram
203,2022-11-12,Retail,El Nuhud,Okra (fresh),1000.0,0%,Kilogram
204,2022-11-12,Retail,El Nuhud,Red Onion,2400.0,0%,Rubu
205,2022-11-12,Wholesale,El Nuhud,Red Onion,33000.0,-2.94%,Big Sack ~100kg
206,2022-11-12,Retail,El Nuhud,Potato (Local),500.0,0%,Kilogram
207,2022-11-12,Retail,El Nuhud,Pigeon Peas,750.0,0%,Kilogram
208,2022-11-12,Wholesale,El Nuhud,Pigeon Peas,50000.0,0%,Standard Sack ~90kg
209,2022-11-12,Retail,El Nuhud,Broad Beans,1700.0,0%,Kilogram
210,2022-11-12,Wholesale,El Nuhud,Broad Beans,108000.0,0%,Standard Sack ~90kg
211,2022-11-12,Retail,El Nuhud,Shelled Groundnuts,620.0,0%,Kilogram
212,2022-11-12,Wholesale,El Nuhud,Shelled Groundnuts,25000.0,0%,Medium Sack ~50kg
213,2022-11-12,Wholesale,El Nuhud,Groundnut (unshelled),12000.0,4.35%,KANTAR (45 KG)
214,2022-11-12,Retail,El Nuhud,Sesame,650.0,1.56%,Kilogram
215,2022-11-12,Wholesale,El Nuhud,Sesame,23500.0,-2.08%,KANTAR (45 KG)
216,2022-11-12,Retail,El Nuhud,Sugar,700.0,0%,Kilogram
217,2022-11-12,Wholesale,El Nuhud,Sugar,30400.0,1.33%,Medium Sack ~50kg
218,2022-11-12,Retail,El Nuhud,Non agric. labour wage,2500.0,0%,Day wage
219,2022-11-12,Retail,El Nuhud,Agric. Labour Wage,3000.0,0%,Day wage
220,2022-11-12,Retail,El Nuhud,Diesel (Parallel),800.0,0%,Liter
221,2022-11-12,Retail,El Nuhud,Diesel (Commercial),750.0,0%,Liter
222,2022-11-12,Wholesale,El Nuhud,Fire wood,3600.0,0%,2 bundles of fire wood -Donkey Load
223,2022-11-12,Retail,El Nuhud,Dry Barakawi Dates,2800.0,-6.67%,Rubu
224,2022-11-12,Wholesale,El Nuhud,Dry Barakawi Dates,30000.0,-9.09%,Standard Sack ~90kg
225,2022-11-12,Retail,El Nuhud,Oranges,1500.0,7.14%,Dozen
226,2022-11-12,Wholesale,El Nuhud,Oranges,11000.0,10%,100 Piece
227,2022-11-12,Retail,El Nuhud,Grapefruits,1500.0,0%,Dozen
228,2022-11-12,Wholesale,El Nuhud,Grapefruits,5000.0,0%,50 Piece
229,2022-11-12,Retail,El Nuhud,Banana,500.0,0%,Kilogram
230,2022-11-12,Wholesale,El Nuhud,Banana,400.0,0%,Kilogram
231,2022-11-12,Retail,El Nuhud,Sorghum Safra,530.0,0%,Kilogram
232,2022-11-12,Wholesale,El Nuhud,Sorghum Safra,48000.0,0%,Standard Sack ~90kg
233,2022-11-12,Retail,El Nuhud,Wheat Grain,430.0,0%,Kilogram
234,2022-11-12,Wholesale,El Nuhud,Wheat Grain,35000.0,0%,Standard Sack ~90kg
235,2022-11-12,Retail,El Nuhud,Sorghum (Feterita),380.0,-5%,Kilogram
236,2022-11-12,Wholesale,El Nuhud,Sorghum (Feterita),32000.0,-5.88%,Standard Sack ~90kg
237,2022-11-12,Retail,El Nuhud,Sorghum (Tabat),540.0,0%,Kilogram
238,2022-11-12,Wholesale,El Nuhud,Sorghum (Tabat),48000.0,0%,Standard Sack ~90kg
239,2022-11-12,Retail,El Nuhud,Wheat flour,700.0,0%,Kilogram
240,2022-11-12,Wholesale,El Nuhud,Wheat flour,23000.0,-4.17%,Small Sack ~25kg
241,2022-11-12,Retail,El Nuhud,Millet,650.0,0%,Kilogram
242,2022-11-12,Wholesale,El Nuhud,Millet,50000.0,0%,Standard Sack ~90kg
243,2022-11-12,Wholesale,Ed Daein,"Calf (live, 250 Kg)",123000.0,-1.99%,Head
244,2022-11-12,Wholesale,Ed Daein,"Bull (350 kg, live)",153000.0,-1.29%,Head
