stress,hindex,tenured,subjective.happyness,country,tenure.age
2,3,FALSE,6,NA,0
5,1,FALSE,4.75,.hk,0
3,14,TRUE,3.75,.jp,32
2,20,TRUE,5.75,.jp,30
2,47,TRUE,4.75,NA,34
5,4,FALSE,3.75,edu,0
4,14,TRUE,5.75,edu,47
5,6,FALSE,4.5,com,0
6,7,FALSE,6,com,0
5,4,FALSE,3.75,edu,0
5,4,FALSE,4,NA,0
3,5,FALSE,4.75,.nz,0
6,1,FALSE,4.75,NA,0
5,11,FALSE,5,NA,0
4,25,TRUE,4.75,.fr,33
4,10,TRUE,3.5,NA,31
3,8,FALSE,5.75,.ar,0
4,5,FALSE,4.5,edu,0
7,4,FALSE,1.25,NA,0
4,2,FALSE,3,edu,0
3,6,FALSE,4.5,NA,0
7,2,FALSE,5,edu,0
4,1,TRUE,6,.ca,31
2,1,FALSE,4.5,.fr,0
4,5,FALSE,5.75,edu,0
4,4,FALSE,5,NA,0
4,20,FALSE,4,NA,0
7,3,FALSE,4,edu,0
5,5,FALSE,4,.ca,0
4,0,FALSE,6,NA,0
4,71,TRUE,4.75,.jp,36
4,83,TRUE,5.5,NA,33
5,7,TRUE,2.75,edu,34
7,1,FALSE,2,NA,0
3,0.5,FALSE,6,NA,0
5,4,FALSE,3.5,NA,0
2,5,FALSE,7,com,0
6,2,FALSE,4.75,NA,0
6,6,FALSE,4.75,NA,0
5,5,TRUE,2.75,.de,27
2,4,FALSE,7,edu,0
4,8,FALSE,5.25,NA,0
4,6,FALSE,4.25,NA,0
4,9,FALSE,3.75,NA,0
5,4,FALSE,5.25,NA,0
3,4,FALSE,6.25,NA,0
3,3,FALSE,4.75,edu,0
5,84,TRUE,3.25,edu,39
6,11,FALSE,3.25,NA,0
7,3,FALSE,6.25,.au,0
4,36,TRUE,5.5,NA,40
6,5,TRUE,4.25,NA,30
5,12,TRUE,6,NA,32
4,0,FALSE,4.25,.ca,0
6,2,FALSE,3,edu,0
4,4,FALSE,4,NA,0
4,20,FALSE,5.5,NA,0
5,0,FALSE,7,.jp,0
1,1,TRUE,5.5,edu,29
4,1,FALSE,5,NA,0
5,42,FALSE,4,com,0
6,45,TRUE,4,.cl,45
5,4,FALSE,4.5,.de,0
7,2,FALSE,1,.in,0
6,7,FALSE,6,.cn,0
6,5,FALSE,3.25,NA,0
5,6,FALSE,3.75,NA,0
4,6,FALSE,5.25,edu,0
5,1,FALSE,3.75,NA,0
6,3,FALSE,2.25,NA,0
3,40,TRUE,5.5,NA,33
5,9,TRUE,4.25,NA,40
6,3,FALSE,4,NA,0
2,19,TRUE,3.5,NA,34
2,22,FALSE,5.75,edu,0
6,22,FALSE,4.75,NA,0
5,2,FALSE,4.25,NA,0
5,0,FALSE,4,NA,0
4,8,FALSE,3.5,NA,0
5,1,FALSE,3.75,NA,0
1,26,TRUE,6.75,edu,48
4,1,FALSE,2.25,NA,0
4,1,FALSE,4,NA,0
5,43,TRUE,3,NA,10
7,2,FALSE,4,NA,0
5,26,TRUE,4.5,.tw,36
6,2,FALSE,1.5,edu,0
6,2,FALSE,1.5,edu,0
6,10,FALSE,5.25,NA,0
4,8,FALSE,4.75,.ca,0
2,3,FALSE,4,.in,0
7,23,TRUE,5,NA,27
6,0,FALSE,3.75,NA,0
6,7,TRUE,6.5,NA,33
2,61,TRUE,5.75,edu,33
6,25,TRUE,2.75,NA,36
2,2,FALSE,5.75,NA,0
6,1,FALSE,3,NA,0
6,7,FALSE,3,NA,0
4,8,FALSE,3.5,NA,0
5,5,FALSE,3.25,NA,0
5,2,FALSE,5.25,NA,0
5,6,FALSE,4.5,edu,0
6,1,FALSE,3.75,NA,0
6,6,FALSE,3.5,com,0
5,1,FALSE,4.25,NA,0
7,8,FALSE,4.25,com,0
6,12,FALSE,4,.cn,0
5,4,FALSE,5.75,com,0
5,10,TRUE,4.25,NA,38
6,8,TRUE,2.5,NA,34
3,38,TRUE,5.5,edu,45
4,6,FALSE,5,NA,0
7,11,TRUE,4,NA,20
3,40,TRUE,5.5,NA,38
1,0,FALSE,4.5,NA,0
2,7,FALSE,6.25,.ca,0
3,1,TRUE,6.25,.au,25
5,5,FALSE,4.75,NA,0
5,3,FALSE,4.5,NA,0
6,3,FALSE,4.75,edu,0
6,7,FALSE,5.25,NA,0
5,0,FALSE,3.5,.no,0
3,6,FALSE,4.5,.cn,0
4,4,FALSE,4,NA,0
2,0,TRUE,6.5,edu,39
5,13,FALSE,5,NA,0
4,6,FALSE,5,NA,0
5,1,FALSE,5,NA,0
6,6,FALSE,5,com,0
4,6,FALSE,5,NA,0
3,3,FALSE,4.25,edu,0
4,18,FALSE,5.75,edu,0
5,2,FALSE,5,.cn,0
6,7,TRUE,2.75,NA,40
1,15,TRUE,4.25,.ru,24
2,25,TRUE,6,NA,27
4,24,FALSE,2.75,.au,0
3,17,TRUE,4.25,NA,30
4,5,FALSE,5.75,NA,0
1,40,TRUE,6.25,edu,28
7,10,TRUE,5.25,NA,23
6,2,FALSE,4.25,NA,0
7,24,FALSE,2,.cn,0
5,5,TRUE,6.25,.ir,35
3,14,TRUE,4.5,NA,10
3,6,FALSE,5.5,.ca,0
6,1,FALSE,3.75,NA,0
5,4,FALSE,5,.tr,0
2,124,TRUE,5.75,.it,38
3,2,FALSE,6.25,.jp,0
7,1,FALSE,3,.de,0
5,42,TRUE,4.5,NA,38
2,8,FALSE,6,NA,0
6,4,FALSE,5.25,.au,0
5,12,TRUE,4.5,NA,32
5,10,TRUE,5.25,NA,37
7,17,FALSE,5,.qa,0
2,12,TRUE,6.25,NA,24
6,6,FALSE,4.5,NA,0
3,1,FALSE,2,com,0
1,4,TRUE,7,NA,25
1,10,TRUE,5.75,.in,26
5,0,FALSE,5.25,.in,0
1,55,TRUE,6.25,NA,39
3,1,FALSE,6.5,.ca,0
1,8,TRUE,6.5,edu,30
4,59,FALSE,4.5,edu,0
3,5,TRUE,4.25,.ru,29
6,4,FALSE,3.75,NA,0
4,40,FALSE,3.5,.de,0
4,2,FALSE,4.75,.in,0
6,91,TRUE,5.25,NA,34
5,9,TRUE,4,.in,35
2,4,FALSE,5.5,NA,0
5,4,FALSE,5,NA,0
2,19,TRUE,6.25,edu,31
1,11,TRUE,3.25,.it,35
1,4,TRUE,6.75,.in,32
3,4,FALSE,4.25,NA,0
4,4,FALSE,4.25,NA,0
6,11,FALSE,6,.ca,0
